日付時刻,MACアドレス,ユーザーネーム,赤色情報,黄色情報,緑色情報,青色情報,白色情報
2017/04/28 13:37:44,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:39:32,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 13:39:42,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:40:05,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 13:41:36,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:41:42,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:43:24,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,0
2017/04/28 13:43:24,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 13:43:37,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:43:56,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 13:44:26,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:44:32,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,0
2017/04/28 13:44:32,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:44:39,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,0,1,1,9,1
2017/04/28 13:44:39,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,0,0,1,9,1
2017/04/28 13:44:41,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,0,0,1,9,0
2017/04/28 13:45:31,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:46:34,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:46:41,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,0
2017/04/28 13:46:41,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:47:49,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 13:47:58,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,0
2017/04/28 13:47:58,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:48:08,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,1,0,1,9,0
2017/04/28 13:48:15,58C232FFFE576735,ﾐﾆFA-ﾊﾞﾘﾄﾘ,0,0,1,9,0
2017/04/28 13:48:21,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 13:48:34,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:48:45,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:50:16,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:51:12,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:51:23,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:53:01,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:53:07,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,0
2017/04/28 13:53:08,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:54:52,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 13:55:16,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 13:55:29,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 13:55:44,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 13:57:32,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 13:57:47,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 13:59:55,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,0
2017/04/28 13:59:55,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:00:01,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:00:07,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 14:00:10,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 14:00:46,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,1,0,9,1
2017/04/28 14:00:52,58C232FFFE576721,ﾐﾆFA-ﾀﾚﾊﾟﾝ,0,0,1,9,0
2017/04/28 14:01:46,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
2017/04/28 14:01:51,58C232FFFE576746,ﾐﾆFA-MARS,0,0,1,9,0
2017/04/28 14:02:17,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,1
2017/04/28 14:02:51,58C232FFFE576722,ﾐﾆFA-ﾀﾚﾊﾟﾝOUT,0,0,1,9,0
2017/04/28 14:03:57,58C232FFFE576746,ﾐﾆFA-MARS,0,0,0,9,1
